DEFB128	ENSG00000185982	ENSP00000335382
USP24	ENSG00000162402	ENSP00000294383
NFIB	ENSG00000147862	ENSP00000370340
DEF6	ENSG00000023892	ENSP00000319831
MUSK	ENSG00000030304	ENSP00000363571
NUP214	ENSG00000126883	ENSP00000352400
ARFGEF1	ENSG00000066777	ENSP00000262215
TEAD1	ENSG00000187079	ENSP00000435233
GSTK1	ENSG00000197448	ENSP00000431049
H2AC8	ENSG00000277075	ENSP00000303373
IL11RA	ENSG00000137070	ENSP00000450565
PIK3R6	ENSG00000276231	ENSP00000480157
GTF2H3	ENSG00000111358	ENSP00000445162
DNAJB12	ENSG00000148719	ENSP00000345575
RNASET2	ENSG00000026297	ENSP00000426455
P2RY11	ENSG00000244165	ENSP00000323872
ELAC2	ENSG00000006744	ENSP00000337445
NEMF	ENSG00000165525	ENSP00000298310
FABP6	ENSG00000170231	ENSP00000377549
PDE8B	ENSG00000113231	ENSP00000264917
TCF25	ENSG00000141002	ENSP00000263346
TTC37	ENSG00000198677	ENSP00000351596
ADAM19	ENSG00000135074	ENSP00000257527
HOXA7	ENSG00000122592	ENSP00000242159
NSUN2	ENSG00000037474	ENSP00000264670
SRD5A1	ENSG00000145545	ENSP00000274192
FOXN4	ENSG00000139445	ENSP00000299162
ZNF30	ENSG00000168661	ENSP00000403441
FPR1	ENSG00000171051	ENSP00000471493
PSENEN	ENSG00000205155	ENSP00000468411
PDE4DIP	ENSG00000178104	ENSP00000358363
OR52N5	ENSG00000181009	ENSP00000322866
GSDMD	ENSG00000104518	ENSP00000433209
EPOR	ENSG00000187266	ENSP00000222139
RBPJ	ENSG00000168214	ENSP00000345206
KLF10	ENSG00000155090	ENSP00000285407
RAD9A	ENSG00000172613	ENSP00000311360
FCGRT	ENSG00000104870	ENSP00000221466
SEPHS2	ENSG00000179918	ENSP00000418669
ALPI	ENSG00000163295	ENSP00000295463
ZNF774	ENSG00000196391	ENSP00000346348
SARM1	ENSG00000004139	ENSP00000468032
ARHGEF10	ENSG00000104728	ENSP00000340297
NME7	ENSG00000143156	ENSP00000356785
NUP42	ENSG00000136243	ENSP00000258742
DPH1	ENSG00000108963	ENSP00000263083
TNFRSF10B	ENSG00000120889	ENSP00000276431
LRIT1	ENSG00000148602	ENSP00000361177
WDR48	ENSG00000114742	ENSP00000307491
KICS2	ENSG00000174206	ENSP00000311486
SNCB	ENSG00000074317	ENSP00000308057
RPL19	ENSG00000108298	ENSP00000225430
NLRC4	ENSG00000091106	ENSP00000385090
SPINK1	ENSG00000164266	ENSP00000296695
CCDC92	ENSG00000119242	ENSP00000238156
ZNF331	ENSG00000130844	ENSP00000253144
P4HA2	ENSG00000072682	ENSP00000384999
METTL7A	ENSG00000185432	ENSP00000448785
ZNF19	ENSG00000157429	ENSP00000288177
EIF3K	ENSG00000178982	ENSP00000248342
LCLAT1	ENSG00000172954	ENSP00000310551
PSMG3	ENSG00000157778	ENSP00000288607
CFAP91	ENSG00000183833	ENSP00000273390
MTA3	ENSG00000057935	ENSP00000383973
TWF2	ENSG00000247596	ENSP00000303908
STC2	ENSG00000113739	ENSP00000265087
AKAP8L	ENSG00000011243	ENSP00000380557
TNPO1	ENSG00000083312	ENSP00000336712
LYPD8	ENSG00000259823	ENSP00000466070
OR2Y1	ENSG00000174339	ENSP00000312403
HPX	ENSG00000110169	ENSP00000265983
NUAK1	ENSG00000074590	ENSP00000261402
MUL1	ENSG00000090432	ENSP00000264198
OLA1	ENSG00000138430	ENSP00000284719
PDE4D	ENSG00000113448	ENSP00000345502
DDX10	ENSG00000178105	ENSP00000314348
HENMT1	ENSG00000162639	ENSP00000359049
ZNF180	ENSG00000167384	ENSP00000221327
ZFP30	ENSG00000120784	ENSP00000343581
ZNF665	ENSG00000197497	ENSP00000379702
OR5K1	ENSG00000232382	ENSP00000373193
CTU1	ENSG00000142544	ENSP00000390011
LILRA4	ENSG00000239961	ENSP00000291759
TIAF1	ENSG00000221995	ENSP00000352424
UTS2R	ENSG00000181408	ENSP00000323516
RPL36	ENSG00000130255	ENSP00000464342
KCNAB3	ENSG00000170049	ENSP00000302719
XCR1	ENSG00000173578	ENSP00000310405
PROK1	ENSG00000143125	ENSP00000271331
RO60	ENSG00000116747	ENSP00000356416
PUM1	ENSG00000134644	ENSP00000391723
MBD4	ENSG00000129071	ENSP00000249910
MED24	ENSG00000008838	ENSP00000377686
ZNF530	ENSG00000183647	ENSP00000332861
MRPL20	ENSG00000242485	ENSP00000341082
CD1C	ENSG00000158481	ENSP00000357152
GALNT15	ENSG00000131386	ENSP00000344260
HOXD9	ENSG00000128709	ENSP00000249499
DTX3L	ENSG00000163840	ENSP00000296161
HDAC4	ENSG00000068024	ENSP00000264606
GPN1	ENSG00000198522	ENSP00000264718
ADAR	ENSG00000160710	ENSP00000357459
PMS1	ENSG00000064933	ENSP00000406490
BOLA1	ENSG00000178096	ENSP00000358149
MAPRE3	ENSG00000084764	ENSP00000233121
MAN1C1	ENSG00000117643	ENSP00000363452
POLR3GL	ENSG00000121851	ENSP00000358320
ARID1A	ENSG00000117713	ENSP00000320485
IFI16	ENSG00000163565	ENSP00000357113
TRIM46	ENSG00000163462	ENSP00000334657
MAP3K7CL	ENSG00000156265	ENSP00000382828
TXNL1	ENSG00000091164	ENSP00000217515
RIOK3	ENSG00000101782	ENSP00000341874
ZNF70	ENSG00000187792	ENSP00000339314
ELMO2	ENSG00000062598	ENSP00000290246
CCNA1	ENSG00000133101	ENSP00000255465
CBX7	ENSG00000100307	ENSP00000216133
SIX4	ENSG00000100625	ENSP00000216513
NDUFV3	ENSG00000160194	ENSP00000346196
SALL4	ENSG00000101115	ENSP00000217086
ANKRD29	ENSG00000154065	ENSP00000468354
KLF6	ENSG00000067082	ENSP00000419923
PSIP1	ENSG00000164985	ENSP00000370109
APTX	ENSG00000137074	ENSP00000400806
TEC	ENSG00000135605	ENSP00000370912
EDN3	ENSG00000124205	ENSP00000337128
TENM1	ENSG00000009694	ENSP00000403954
DNMT3L	ENSG00000142182	ENSP00000270172
PFKL	ENSG00000141959	ENSP00000269848
PHKA1	ENSG00000067177	ENSP00000362643
JPH2	ENSG00000149596	ENSP00000362071
PAX5	ENSG00000196092	ENSP00000350844
CLIC2	ENSG00000155962	ENSP00000358460
VAMP7	ENSG00000124333	ENSP00000262640
SHC3	ENSG00000148082	ENSP00000364995
NDUFA6	ENSG00000184983	ENSP00000418842
UBOX5	ENSG00000185019	ENSP00000217173
ARL14EP	ENSG00000152219	ENSP00000282032
DAPK1	ENSG00000196730	ENSP00000386135
ZNF335	ENSG00000198026	ENSP00000325326
HDHD5	ENSG00000069998	ENSP00000337358
ZC3H7B	ENSG00000100403	ENSP00000345793
CYP2C19	ENSG00000165841	ENSP00000360372
NLRP1	ENSG00000091592	ENSP00000478516
GABRB3	ENSG00000166206	ENSP00000308725
EIF2B2	ENSG00000119718	ENSP00000266126
MFAP5	ENSG00000197614	ENSP00000352455
RRAGB	ENSG00000083750	ENSP00000262850
SERPINA3	ENSG00000196136	ENSP00000376793
CNIH1	ENSG00000100528	ENSP00000216416
TGFBR1	ENSG00000106799	ENSP00000364133
RPS29	ENSG00000213741	ENSP00000379339
CPEB3	ENSG00000107864	ENSP00000482128
TRAF6	ENSG00000175104	ENSP00000433623
ZFP91	ENSG00000186660	ENSP00000339030
FILIP1	ENSG00000118407	ENSP00000237172
SEC24D	ENSG00000150961	ENSP00000280551
RNASE2	ENSG00000169385	ENSP00000303276
KIAA0930	ENSG00000100364	ENSP00000251993
TNKS	ENSG00000173273	ENSP00000311579
CST4	ENSG00000101441	ENSP00000217423
SHMT2	ENSG00000182199	ENSP00000333667
IPPK	ENSG00000127080	ENSP00000287996
UPF3B	ENSG00000125351	ENSP00000276201
TFPI2	ENSG00000105825	ENSP00000222543
HCN4	ENSG00000138622	ENSP00000261917
ZMYND19	ENSG00000165724	ENSP00000298585
OPHN1	ENSG00000079482	ENSP00000347710
CERS5	ENSG00000139624	ENSP00000325485
CDK5R1	ENSG00000176749	ENSP00000318486
TOMM22	ENSG00000100216	ENSP00000216034
PLN	ENSG00000198523	ENSP00000350132
MED1	ENSG00000125686	ENSP00000300651
MARCKS	ENSG00000277443	ENSP00000478061
RNGTT	ENSG00000111880	ENSP00000358497
	ENSG00000285976	ENSP00000359685
TMED4	ENSG00000158604	ENSP00000404042
TREX2	ENSG00000183479	ENSP00000333441
CDC27	ENSG00000004897	ENSP00000434614
SND1	ENSG00000197157	ENSP00000346762
CENPI	ENSG00000102384	ENSP00000362018
OR10G2	ENSG00000255582	ENSP00000445383
ROBO4	ENSG00000154133	ENSP00000304945
PRKG1	ENSG00000185532	ENSP00000363092
CAPN13	ENSG00000162949	ENSP00000295055
BCKDHB	ENSG00000083123	ENSP00000318351
LONP2	ENSG00000102910	ENSP00000285737
HOXB8	ENSG00000120068	ENSP00000239144
DMC1	ENSG00000100206	ENSP00000216024
KCNMA1	ENSG00000156113	ENSP00000286628
ATP11A	ENSG00000068650	ENSP00000420387
DCAF16	ENSG00000163257	ENSP00000371682
PIP5KL1	ENSG00000167103	ENSP00000373399
TGM3	ENSG00000125780	ENSP00000370867
MEX3B	ENSG00000183496	ENSP00000329918
ZFP36L2	ENSG00000152518	ENSP00000282388
DDX17	ENSG00000100201	ENSP00000380033
NFAT5	ENSG00000102908	ENSP00000457593
STATH	ENSG00000126549	ENSP00000246895
SLC27A1	ENSG00000130304	ENSP00000252595
TNFRSF18	ENSG00000186891	ENSP00000328207
OR4K1	ENSG00000155249	ENSP00000285600
PSMD9	ENSG00000110801	ENSP00000440485
SNAI3	ENSG00000185669	ENSP00000327968
CDK6	ENSG00000105810	ENSP00000265734
WDR59	ENSG00000103091	ENSP00000262144
