idx	rho	beta	gamma	method	metric	perf
28	0.2	-inf	-inf	RWR w/ GDC	AveP	0.07140410902920954
28	0.2	-inf	-inf	mND	Prec@100	0.22
28	0.2	-inf	-inf	mND	Prec@200	0.19
28	0.2	-inf	-inf	mND	AveP	0.09317019494251683
28	0.2	-inf	-inf	RWR	Prec@100	0.22
28	0.2	-inf	-inf	RWR	Prec@200	0.2
28	0.2	-inf	-inf	RWR	AveP	0.08977197480648537
29	0.2	-inf	-inf	Naive	Prec@100	0.0
29	0.2	-inf	-inf	Naive	Prec@200	0.005
29	0.2	-inf	-inf	Naive	AveP	0.025764057041648608
29	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.22
29	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.185
29	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06998508160321837
29	0.2	-inf	-inf	mND	Prec@100	0.2
29	0.2	-inf	-inf	mND	Prec@200	0.18
29	0.2	-inf	-inf	mND	AveP	0.09094852887581786
29	0.2	-inf	-inf	RWR	Prec@100	0.22
29	0.2	-inf	-inf	RWR	Prec@200	0.195
29	0.2	-inf	-inf	RWR	AveP	0.08932508270762637
0	0.2	0.5	-inf	RWR + Curv	Prec@100	0.19
0	0.2	0.5	-inf	RWR + Curv	Prec@200	0.185
0	0.2	0.5	-inf	RWR + Curv	AveP	0.08541562257039861
0	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	Prec@100	0.22
0	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	Prec@200	0.195
0	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	AveP	0.0926211769879657
0	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	Prec@100	0.21
0	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	Prec@200	0.195
0	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	AveP	0.08863658274880065
0	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	Prec@100	0.21
0	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	Prec@200	0.195
0	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	AveP	0.09122062401324849
1	0.2	0.5	-inf	RWR + Curv	Prec@100	0.21
1	0.2	0.5	-inf	RWR + Curv	Prec@200	0.185
1	0.2	0.5	-inf	RWR + Curv	AveP	0.08683114529529959
1	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	Prec@100	0.22
1	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	Prec@200	0.19
1	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	AveP	0.0925471329580151
1	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	Prec@100	0.21
1	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	Prec@200	0.195
1	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	AveP	0.08955381610039628
1	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	Prec@100	0.22
1	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	Prec@200	0.195
1	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	AveP	0.09173116182317467
2	0.2	0.5	-inf	RWR + Curv	Prec@100	0.18
2	0.2	0.5	-inf	RWR + Curv	Prec@200	0.175
2	0.2	0.5	-inf	RWR + Curv	AveP	0.08422984826523383
2	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	Prec@100	0.2
2	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	Prec@200	0.185
2	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	AveP	0.09073562374639718
2	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	Prec@100	0.19
2	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	Prec@200	0.18
2	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	AveP	0.08727779352947385
2	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	Prec@100	0.21
2	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	Prec@200	0.19
