idx	rho	beta	gamma	method	metric	perf
18	0.2	-inf	-inf	Naive	Prec@100	0.0
18	0.2	-inf	-inf	Naive	Prec@200	0.0
18	0.2	-inf	-inf	Naive	AveP	0.03716479192975489
18	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.14
18	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.115
18	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06482884460688369
18	0.2	-inf	-inf	mND	Prec@100	0.18
18	0.2	-inf	-inf	mND	Prec@200	0.155
18	0.2	-inf	-inf	mND	AveP	0.08993441995280421
18	0.2	-inf	-inf	RWR	Prec@100	0.2
18	0.2	-inf	-inf	RWR	Prec@200	0.16
18	0.2	-inf	-inf	RWR	AveP	0.08424460811613395
19	0.2	-inf	-inf	Naive	Prec@100	0.0
19	0.2	-inf	-inf	Naive	Prec@200	0.0
19	0.2	-inf	-inf	Naive	AveP	0.037590852630086324
19	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.17
19	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.13
19	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06739866223252736
19	0.2	-inf	-inf	mND	Prec@100	0.19
19	0.2	-inf	-inf	mND	Prec@200	0.18
19	0.2	-inf	-inf	mND	AveP	0.09457136201272939
19	0.2	-inf	-inf	RWR	Prec@100	0.22
19	0.2	-inf	-inf	RWR	Prec@200	0.17
19	0.2	-inf	-inf	RWR	AveP	0.08754547675458237
20	0.2	-inf	-inf	Naive	Prec@100	0.0
20	0.2	-inf	-inf	Naive	Prec@200	0.0
20	0.2	-inf	-inf	Naive	AveP	0.038170061197743604
20	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.15
20	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.11
20	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06308208182783445
20	0.2	-inf	-inf	mND	Prec@100	0.19
20	0.2	-inf	-inf	mND	Prec@200	0.16
20	0.2	-inf	-inf	mND	AveP	0.0891751052411241
20	0.2	-inf	-inf	RWR	Prec@100	0.19
20	0.2	-inf	-inf	RWR	Prec@200	0.145
20	0.2	-inf	-inf	RWR	AveP	0.08119230933237642
21	0.2	-inf	-inf	Naive	Prec@100	0.0
21	0.2	-inf	-inf	Naive	Prec@200	0.0
21	0.2	-inf	-inf	Naive	AveP	0.03700921885279239
21	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.15
21	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.115
21	0.2	-inf	-inf	RWR w/ GDC	AveP	0.06429106101463483
21	0.2	-inf	-inf	mND	Prec@100	0.17
21	0.2	-inf	-inf	mND	Prec@200	0.165
21	0.2	-inf	-inf	mND	AveP	0.09041568838927405
21	0.2	-inf	-inf	RWR	Prec@100	0.19
21	0.2	-inf	-inf	RWR	Prec@200	0.155
21	0.2	-inf	-inf	RWR	AveP	0.08372586148641478
