id	prior	degree	curv_mean	curv_std
A8K5U9	False	1.0	-2153.0	0.0
A8K5W7	False	1.0	-2153.0	0.0
A8K5Y2	False	1.0	-420.0	0.0
A8K5Y7	False	1.0	-2153.0	0.0
A8K644	False	1.0	-2153.0	0.0
A8K690	False	1.0	-2153.0	0.0
A8K6I4	False	1.0	-533.0	0.0
A8K6K7	False	1.0	-2153.0	0.0
A8K6N9	False	2.0	-1287.5	866.5
A8K6V7	False	1.0	-533.0	0.0
A8K781	False	1.0	-203.0	0.0
A8K7I4	False	6.0	-242.5	386.7939804771183
A8K855	False	8.0	-180.375	297.6079373521479
A8K8A6	False	1.0	-195.0	0.0
A8K8P3	False	21.0	-237.1904761904762	225.62962044816447
A8K8U1	False	2.0	-1287.5	866.5
A8K8U7	False	1.0	-203.0	0.0
A8K8V0	False	88.0	-222.86363636363637	145.33348655437118
A8K8Y5	False	1.0	-360.0	0.0
A8K900	False	1.0	-116.0	0.0
A8K940	False	1.0	-53.0	0.0
A8K962	False	1.0	-2153.0	0.0
A8K979	False	4.0	-140.25	115.56897291228299
A8K9A4	False	1.0	-2153.0	0.0
A8K9C4	False	1.0	-2153.0	0.0
A8K9K6	False	1.0	-2153.0	0.0
A8K9U0	False	1.0	-2153.0	0.0
A8K9U6	False	2.0	-1341.0	810.0
A8KAG1	False	2.0	-1212.0	942.0
A8KAH1	False	1.0	-2153.0	0.0
A8KAH6	False	20.0	-174.5	150.05548973629723
A8MPP1	False	19.0	-99.15789473684211	54.31706444852031
A8MPS7	False	5.0	-387.4	405.61143968088476
A8MPX8	False	1.0	-2736.0	0.0
A8MQ03	False	527.0	-544.1688804554079	156.98720605384065
A8MQ14	False	2.0	-910.0	433.0
A8MQ27	False	2.0	-652.0	605.0
A8MQB3	False	3.0	-1233.3333333333333	811.3340180769502
A8MQT2	False	2.0	-593.0	137.0
A8MRT5	False	2.0	-868.0	170.0
A8MT33	False	36.0	-128.0	120.98071471657511
A8MT65	False	3.0	-1169.6666666666667	1148.9857363005958
A8MT69	False	27.0	-317.77777777777777	449.9554984854435
A8MT70	False	28.0	-97.64285714285714	83.55503502213988
A8MTA8	False	23.0	-142.0	93.63342026917712
A8MTJ3	False	11.0	-669.9090909090909	488.69296078146584
A8MTL0	False	2.0	-51.0	49.0
A8MTQ0	False	31.0	-140.48387096774192	124.24062785909472
A8MTT3	False	1.0	-274.0	0.0
A8MTY0	False	10.0	-749.3	1042.9426686064771
A8MTY7	False	1.0	-948.0	0.0
A8MTZ0	False	11.0	-147.63636363636363	182.82543722323697
A8MU46	False	2.0	-792.5	648.5
