idx	rho	beta	gamma	method	metric	perf
28	0.2	-inf	-inf	mND	Prec@100	0.22
28	0.2	-inf	-inf	mND	Prec@200	0.16
28	0.2	-inf	-inf	mND	AveP	0.08685113623112575
28	0.2	-inf	-inf	RWR	Prec@100	0.2
28	0.2	-inf	-inf	RWR	Prec@200	0.16
28	0.2	-inf	-inf	RWR	AveP	0.08623917477166096
29	0.2	-inf	-inf	Naive	Prec@100	0.0
29	0.2	-inf	-inf	Naive	Prec@200	0.0
29	0.2	-inf	-inf	Naive	AveP	0.03535112930029432
29	0.2	-inf	-inf	RWR w/ GDC	Prec@100	0.19
29	0.2	-inf	-inf	RWR w/ GDC	Prec@200	0.155
29	0.2	-inf	-inf	RWR w/ GDC	AveP	0.07596682494575355
29	0.2	-inf	-inf	mND	Prec@100	0.2
29	0.2	-inf	-inf	mND	Prec@200	0.155
29	0.2	-inf	-inf	mND	AveP	0.08546996456760181
29	0.2	-inf	-inf	RWR	Prec@100	0.19
29	0.2	-inf	-inf	RWR	Prec@200	0.155
29	0.2	-inf	-inf	RWR	AveP	0.08492586004238234
0	0.2	0.5	-inf	RWR + Curv	Prec@100	0.18
0	0.2	0.5	-inf	RWR + Curv	Prec@200	0.145
0	0.2	0.5	-inf	RWR + Curv	AveP	0.07812301198549466
0	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	Prec@100	0.19
0	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	Prec@200	0.145
0	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	AveP	0.08300955608370643
0	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	Prec@100	0.18
0	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	Prec@200	0.15
0	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	AveP	0.08058496020307651
0	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	Prec@100	0.18
0	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	Prec@200	0.155
0	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	AveP	0.08266365710107099
1	0.2	0.5	-inf	RWR + Curv	Prec@100	0.18
1	0.2	0.5	-inf	RWR + Curv	Prec@200	0.155
1	0.2	0.5	-inf	RWR + Curv	AveP	0.08229444183583108
1	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	Prec@100	0.19
1	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	Prec@200	0.155
1	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	AveP	0.08837586094374744
1	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	Prec@100	0.19
1	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	Prec@200	0.16
1	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	AveP	0.08519163968922226
1	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	Prec@100	0.21
1	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	Prec@200	0.16
1	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	AveP	0.08759180448860161
2	0.2	0.5	-inf	RWR + Curv	Prec@100	0.19
2	0.2	0.5	-inf	RWR + Curv	Prec@200	0.16
2	0.2	0.5	-inf	RWR + Curv	AveP	0.08503910312643344
2	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	Prec@100	0.21
2	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	Prec@200	0.145
2	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	AveP	0.09083993738392335
2	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	Prec@100	0.2
2	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	Prec@200	0.155
2	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	AveP	0.08782143058662029
2	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	Prec@100	0.23
2	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	Prec@200	0.155
2	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	AveP	0.09024762834633401
3	0.2	0.5	-inf	RWR + Curv	Prec@100	0.18
3	0.2	0.5	-inf	RWR + Curv	Prec@200	0.15
3	0.2	0.5	-inf	RWR + Curv	AveP	0.08142710772322276
3	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	Prec@100	0.19
3	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	Prec@200	0.16
3	0.2	0.5	-inf	RWR + Prior(uKIN, Curv)	AveP	0.08684719722463552
3	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	Prec@100	0.19
3	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	Prec@200	0.155
3	0.2	0.5	-inf	RWR + Prior(uKIN) + Curv	AveP	0.08395403731395357
3	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	Prec@100	0.19
3	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	Prec@200	0.155
3	0.2	0.5	-inf	RWR + Prior(uKIN, Curv) + Curv	AveP	0.08610672387287606
4	0.2	0.5	-inf	RWR + Curv	Prec@100	0.18
