id	RWR	RWR + Curv	RWR + Prior(uKIN)	RWR + Prior(uKIN, Curv)	RWR + Prior(uKIN) + Curv	RWR + Prior(uKIN, Curv) + Curv	RWR + Prior(RWR)	RWR + Prior(RWR, Curv)	RWR + Prior(RWR) + Curv	RWR + Prior(RWR, Curv) + Curv
Q99590	11.210749303322794	11.32010580336111	11.46391910260361	11.670233090287	11.593336975384357	11.815229699296221	5.365534728919939	5.427320859750886	5.448287294692627	5.675963285144626
Q99592	7.454776339850486	7.716909404502844	7.317315411877691	7.198944803290953	7.572952972996707	7.446259443270124	3.643429310468653	3.6605852971871755	3.649287975737524	3.669847104120423
Q99593	6.347779140536441	6.572701006155654	6.293962481595608	6.269568434771629	6.517297595496811	6.4926528017267495	3.805276021169485	3.8553929819970993	3.846429231244756	3.88970813650698
Q99594	9.515117442525213	9.919807576932568	9.291400464661047	9.107791076913363	9.673017195704135	9.471464455757076	4.896543980086358	4.933353259731769	4.9282523587213465	4.97575879182344
Q99595	9.13222794283534	9.305922012786775	8.853442432383982	8.610734555868572	9.015174072176736	8.762781278873417	5.891723214632013	5.883502580781755	5.8925652222286695	5.897893547989799
Q99598	31.485407758242303	32.96218646132038	31.149881374325673	30.746501555471355	32.612365226216006	32.195738311666766	11.336407525222244	12.098293157439612	12.282991496473025	12.978415186801191
Q99603	3.659761467176083	3.771460392876075	3.0746821178401302	2.9484141047162145	3.118269277764719	2.977119912537684	2.7082284302471122	2.7087530612186352	2.7089245214152537	2.709660434753205
Q99607	7.927763321398197	8.170258725742329	12.458008908719018	16.019408465818362	13.107799934646577	17.003483298236095	26.748589548680865	29.71688514384372	31.360179987543923	33.29385765157355
Q99608	68.73984033730024	67.36724139703247	68.94929937179866	68.98850104847845	67.58653844597681	67.65280051599116	43.097033150862885	47.4434953981932	47.896858672022574	50.14622315180407
Q99611	7.699031606901868	7.967380475771616	7.458561013846349	7.273302759556024	7.705377028636601	7.504350491842617	4.90327356045775	4.91276432602448	4.915203927603321	4.922673425695728
Q99612	12.270571677571494	12.540601118006718	17.14328156115961	20.746762506882124	17.608731237108454	21.36069206089576	41.854867119251736	39.67939387633546	41.596080050357116	41.30534383772336
Q99613	23.4520083653576	24.065845533777853	23.710567060263156	23.880602253331247	24.344053080130085	24.525172923037257	11.061366091408056	12.111766784990873	11.99858630497559	12.836796518218348
Q99614	24.36796685686144	25.988342318631222	24.14682428419057	23.871703837633937	25.76742626908527	25.4870310205977	7.1006565833957795	8.121845120281213	8.194070299169425	8.991263163972828
Q99615	35.552013724739645	36.536539098817975	35.47377843924987	35.27790538342306	36.4576391228221	36.252606484088986	15.82945883995372	17.30710800438979	17.061838333478864	18.11757132332548
Q99616	13.42553253727678	14.303624372961195	13.02672683022199	12.720295633772436	13.878524407760935	13.550177979626062	4.992471570860463	5.173641978765665	5.22788029959499	5.425882247559426
Q99618	16.926533379381173	17.394583489810127	16.767988754572208	16.592496047679656	17.242839479249376	17.071313962451928	8.640048160732588	8.820987164590596	8.832610380948257	9.00702280208646
Q99619	8.913535494469434	9.290138199135688	8.928394261045321	8.92530401322217	9.318589914399078	9.325775972509698	4.419618501663481	4.456665247970384	4.483786068240542	4.569342912097503
Q99622	5.725221779739	5.691962789305877	5.502238372848008	5.264208841593147	5.473021424422531	5.23610923064824	2.15267352629651	2.112672493498491	2.1215412300715397	2.0998841096353975
Q99623	62.38962767452768	59.911707288495705	62.60688084949531	62.4434982654269	60.174648186378796	60.06097362811005	49.25626432303784	50.45244415876888	51.891521075747534	51.407262213945806
Q99624	4.660178587052244	4.764246893812897	4.5066449844574095	4.408470089241194	4.596905513359204	4.490078148333376	3.590112214564139	3.5957989937189705	3.5977131923349086	3.602784792125334
Q99626	6.027818708598352	6.267333230953472	10.221349577139224	13.550721060858619	10.710220825908218	14.252876887957143	31.494374147457663	35.208124776706825	38.752850201888336	40.714265315130554
Q99627	17.749933167249257	18.77836912520682	17.72079053024085	17.637964328046774	18.75054277151652	18.664147126076898	6.554654038670079	6.868772885905507	6.857493773477394	7.159713107361061
Q99633	19.939298246794454	21.20188163117651	19.630674405453117	19.31024684303327	20.887552073126525	20.558582398659947	5.516619583358986	6.129891845400626	6.332104743022246	6.833534268746843
